Word,Translation
station,станция
acting,играет роль
accept,принимать
blow,дуть
strange,странный
saved,Сохраненный
Ivy,плющ
or,или же
ivy,плющ
conversation,беседа
plane,самолет
mama,мама
yesterday,вчера
lied,солгал
quick,быстро
lately,за последнее время
stuck,застрявший
lovely,прекрасный
security,безопасность
report,отчет
Barbara,Барбара
difference,разница
rid,избавлять
tv,Телевизор
or,или же
TV,Телевизор
Adam,Адам
store,хранить
she,она
d,d
bag,мешок
Mike,Майк
bought,купила
ball,мяч
single,Один
Kevin,Kevin
doubt,сомневаться
listening,прослушивание
major,главный
walking,гулять пешком
cops,менты
blue,синий
deep,глубокий
dangerous,опасный
Buffy,Buffy
park,парк
or,или же
Park,Парк
sleeping,спать
Chloe,Хлоя
Rafe,Рейф
shh,тсс
record,записывать
lord,господин
Erica,вересковые
moved,взолнованный
join,присоединиться
key,ключ
captain,капитан
card,карта
crime,преступление
gentlemen,господа
willing,готовый
window,окно
return,возвращаться
walked,ходил
guilty,виновный
Brenda,Бренда
likes,нравится
fighting,борьба
difficult,трудный
soul,душа
joke,шутить
service,услуга
magic,магия
favorite,любимый
uncle,дядя
promised,обещанный
public,общественности
bother,беспокоить
island,остров
Jim,Джим
seriously,шутки в сторону
cell,клетка
lead,Свинец
knowing,знание
broken,сломанный
advice,совет
somehow,как-то
paid,оплаченный
Blair,блэр
losing,проигравшая
push,толкать
helped,помог
killing,убийство
usually,обычно
earlier,ранее
boss,босс
Laura,Лаура
beginning,начало
liked,понравилось
innocent,невиновный
doc,доктор
rules,правила
Elizabeth,Элизабет
Sabrina,Sabrina
summer,летом
or,или же
Summer,Летом
ex,бывший
cop,полицейский
learned,научился
thirty,30
risk,риск
letting,сдача в аренду
Phillip,Phillip
speaking,Говорящий
officer,сотрудник
ridiculous,смешной
support,служба поддержки
afternoon,после полудня
Eric,Эрик
born,родившийся
dreams,мечты
apologize,извиняться
seat,сиденье
nervous,нервный
across,через
song,песня
Olivia,Оливия
charge,заряжать
patient,пациент
Cassie,Касси
boat,лодка
how,как
d,d
brain,мозг
hide,Спрятать
detective,детектив
Aaron,Аарон
Kendall,Kendall
general,Генеральная
Tom,Том
planning,планирование
nine,девять
huge,огромный
breakfast,завтрак
horrible,какой ужас
age,возраст
awful,ужасный
